descripcion_normalizada,insumo_id,aprobado,decision,evidencia
MINICACAHUATE,,False,revisar,
MOLDE,,False,revisar,
MOLDE ACETATO,,False,revisar,
MOLDE CUPCAKE (6 PZ),,False,revisar,
MOLDE DE SILICON,,False,revisar,
MOLDE DE SILICON GIRASOL,,False,revisar,
MOLDE F 16,,False,revisar,
MOLDE F 16CM,,False,revisar,
MOLDE F 18,,False,revisar,
MOLDE F 22CM,,False,revisar,
MOLDE F 28CM,,False,revisar,
MOLDE F#18,,False,revisar,
MOLDE PARA CHOCOLATE,,False,revisar,
MOLDE PARA PASTEL,,False,revisar,
MOLDE R22,,False,revisar,
MR PLAYERA,,False,revisar,
ND,,False,revisar,
NESCAFE 4,,False,revisar,
NESTLE BOTA FELICES FIESTAS,,False,revisar,
NESTLE CARLOS V STICK 20 PZ,,False,revisar,
NIDO F 120,,False,revisar,
NIDO FORTI,,False,revisar,
NUEZ,,False,revisar,
NUEZ GRANILLO,,False,revisar,
NUEZ PEDAZO,,False,revisar,
NUTELLA,,False,revisar,
NUTELLA 1 KG,,False,revisar,
NUTELLA 650G,,False,revisar,
NUTELLA CHICA 350 GRS,,False,revisar,
NUTELLA FRASCO 950 G,,False,revisar,
NUTELLA GRANDE 650 GR,,False,revisar,
OBLEA ARROZ,,False,revisar,
OREO,,False,revisar,
OREO 273.6,,False,revisar,
OREO CHARO,,False,revisar,
OREO ECONOPACK,,False,revisar,
OREO FUDGE,,False,revisar,
OREO VAINILLA,,False,revisar,
PALO PARA BROCHETA,,False,revisar,
PANERA 16CM,,False,revisar,
PAPEL ENCERADO,,False,revisar,
PAPEL ESTRELLA PLIEGO,,False,revisar,
PAPEL PELICULA 150M META FILM,,False,revisar,
PAPEL QUILON PARA HORNEAR,,False,revisar,
PAQUETE PALITOS PARA PALETAS,,False,revisar,
PARA 12 CUPCAKES,,False,revisar,
PASA GRANDE CHILENA,,False,revisar,
PASTEL ALTO,,False,revisar,
PASTIREAL MANGA NO. 12,,False,revisar,
PEAJE,,False,revisar,
PEGAMENTO DE FONDANT,,False,revisar,
PEGAMENTO PARA FONDANT 30 ML,,False,revisar,
"PEGATINAS, MOLDES, REJILLA, DUYA",,False,revisar,
PELICULA 150,,False,revisar,
PERLA,,False,revisar,
PERLA COLORES,,False,revisar,
PERLA NEON Y CONFETI MA BAKER,,False,revisar,
PERLA PLATEADA,,False,revisar,
PERLAS,,False,revisar,
PERLAS Y GRANILLO DIAMANTADO MA B,,False,revisar,
PERLITAS,,False,revisar,
PHILADELPHIA QSO,,False,revisar,
PHILLY QSO,,False,revisar,
PINCEL,,False,revisar,
PINCELES,,False,revisar,
PINZAS,,False,revisar,
"PIPETILLAS, BALANZA ELECTRONICA, TEMPORIZADOR, MOLDE DE PRENSA",,False,revisar,
PLATANITOS,,False,revisar,
PLATO RIGIDO NEGRO RE,,False,revisar,
PORTA,,False,revisar,
PRO 2 PACK,,False,revisar,
PURATOS CHOCOLATE,,False,revisar,
PURATOS CREAMFIL CREME CHOCO,,False,revisar,
PURATOS FRUITFIL FRESA 1 KG,,False,revisar,
PURATOS FRUITFIL ZARZAMORA 1 KG,,False,revisar,
PURATOS SATIN,,False,revisar,
PURATOS TRES LECHES,,False,revisar,
PURATOS TRES LECHES VAINILLA,,False,revisar,
PURATOS VAINILLA,,False,revisar,
QSOCREMAPHILADE 200G,,False,revisar,
QUESO CREMA SUELTO,,False,revisar,
QUESO PHILADELPHIA,,False,revisar,
QUESO PHILADELPHIA 190G,,False,revisar,
RASPA,,False,revisar,
REBANADAS DE PINA EN ALMIBAR 800G,,False,revisar,
RED VELVET,,False,revisar,
RELLENO COCO,,False,revisar,
RELLENO DE BAILEYS,,False,revisar,
RELLENO DURAZNO PURATOS,,False,revisar,
RELLENO FRESA FRUTIFIL PURATOS,,False,revisar,
